cell_line_name,genetic_feature,is_mutated
OCUB-M,MECOM_mut,0
OCUB-M,MED23_mut,0
OCUB-M,MGA_mut,0
OCUB-M,MLL_mut,0
OCUB-M,MLL3_mut,1
OCUB-M,MLLT4_mut,0
OCUB-M,MYH9_mut,0
OCUB-M,NF1_mut,0
OCUB-M,NF2_mut,0
OCUB-M,NSD1_mut,0
OCUB-M,NUP98_mut,0
OCUB-M,PIK3CA_mut,1
OCUB-M,PIK3R1_mut,0
OCUB-M,POLR2B_mut,0
OCUB-M,PTEN_mut,0
OCUB-M,SACS_mut,0
OCUB-M,SMARCA4_mut,0
OCUB-M,STAG2_mut,0
OCUB-M,SVEP1_mut,0
OCUB-M,TCF12_mut,0
OCUB-M,TP53_mut,1
OCUB-M,TRIO_mut,0
OCUB-M,ZFP36L1_mut,0
T47D,AHNAK_mut,0
T47D,AKAP9_mut,0
T47D,APC_mut,0
T47D,ARFGEF2_mut,0
T47D,ARID1A_mut,1
T47D,ARID1B_mut,0
T47D,ARID4B_mut,0
T47D,ASH1L_mut,0
T47D,ASPM_mut,0
T47D,ASXL2_mut,0
T47D,ATM_mut,0
T47D,ATR_mut,0
T47D,BAP1_mut,0
T47D,BNC2_mut,0
T47D,BRAF_mut,0
T47D,BRCA1_mut,0
T47D,BRCA2_mut,0
T47D,CDH1_mut,0
T47D,CHD4_mut,0
T47D,CHEK2_mut,0
T47D,CLSPN_mut,0
T47D,CTCF_mut,0
T47D,CUX1_mut,0
T47D,DHX15_mut,0
T47D,EIF4A2_mut,0
T47D,EP300_mut,0
T47D,FAT1_mut,0
T47D,FLT3_mut,0
T47D,FTSJD1_mut,0
T47D,GATA3_mut,0
T47D,KALRN_mut,0
T47D,KDM5C_mut,0
T47D,KDM6A_mut,0
T47D,KRAS_mut,0
T47D,LARP4B_mut,0
T47D,LPHN2_mut,0
T47D,MACF1_mut,0
T47D,MAP2K4_mut,0
T47D,MAP3K1_mut,0
T47D,MAX_mut,0
T47D,MECOM_mut,0
T47D,MED23_mut,1
T47D,MGA_mut,0
T47D,MLL_mut,0
T47D,MLL3_mut,0
T47D,MLLT4_mut,1
T47D,MYH9_mut,0
T47D,NF1_mut,0
T47D,NF2_mut,0
T47D,NSD1_mut,0
T47D,NUP98_mut,0
T47D,PIK3CA_mut,1
T47D,PIK3R1_mut,0
T47D,POLR2B_mut,0
T47D,PTEN_mut,0
T47D,SACS_mut,0
T47D,SMARCA4_mut,0
T47D,STAG2_mut,0
T47D,SVEP1_mut,0
T47D,TCF12_mut,0
T47D,TP53_mut,1
T47D,TRIO_mut,0
T47D,ZFP36L1_mut,0
UACC-812,AHNAK_mut,0
UACC-812,AKAP9_mut,0
UACC-812,APC_mut,0
UACC-812,ARFGEF2_mut,0
UACC-812,ARID1A_mut,0
UACC-812,ARID1B_mut,0
UACC-812,ARID4B_mut,0
UACC-812,ASH1L_mut,0
UACC-812,ASPM_mut,0
UACC-812,ASXL2_mut,0
UACC-812,ATM_mut,0
UACC-812,ATR_mut,0
UACC-812,BAP1_mut,0
UACC-812,BNC2_mut,0
UACC-812,BRAF_mut,0
UACC-812,BRCA1_mut,0
UACC-812,BRCA2_mut,0
UACC-812,CDH1_mut,0
UACC-812,CHD4_mut,0
UACC-812,CHEK2_mut,1
UACC-812,CLSPN_mut,0
UACC-812,CTCF_mut,0
UACC-812,CUX1_mut,0
UACC-812,DHX15_mut,0
UACC-812,EIF4A2_mut,0
UACC-812,EP300_mut,0
UACC-812,FAT1_mut,0
UACC-812,FLT3_mut,0
UACC-812,FTSJD1_mut,0
UACC-812,GATA3_mut,0
UACC-812,KALRN_mut,0
UACC-812,KDM5C_mut,0
UACC-812,KDM6A_mut,0
UACC-812,KRAS_mut,0
UACC-812,LARP4B_mut,0
UACC-812,LPHN2_mut,0
UACC-812,MACF1_mut,0
UACC-812,MAP2K4_mut,0
UACC-812,MAP3K1_mut,0
UACC-812,MAX_mut,0
UACC-812,MECOM_mut,0
UACC-812,MED23_mut,0
UACC-812,MGA_mut,0
UACC-812,MLL_mut,0
UACC-812,MLL3_mut,0
UACC-812,MLLT4_mut,0
UACC-812,MYH9_mut,0
UACC-812,NF1_mut,0
UACC-812,NF2_mut,0
UACC-812,NSD1_mut,0
UACC-812,NUP98_mut,0
UACC-812,PIK3CA_mut,0
UACC-812,PIK3R1_mut,0
UACC-812,POLR2B_mut,0
UACC-812,PTEN_mut,0
UACC-812,SACS_mut,0
UACC-812,SMARCA4_mut,0
UACC-812,STAG2_mut,0
UACC-812,SVEP1_mut,0
UACC-812,TCF12_mut,0
UACC-812,TP53_mut,0
UACC-812,TRIO_mut,0
UACC-812,ZFP36L1_mut,0
UACC-893,AHNAK_mut,0
UACC-893,AKAP9_mut,0
UACC-893,APC_mut,0
UACC-893,ARFGEF2_mut,0
UACC-893,ARID1A_mut,0
UACC-893,ARID1B_mut,0
UACC-893,ARID4B_mut,0
UACC-893,ASH1L_mut,0
UACC-893,ASPM_mut,0
UACC-893,ASXL2_mut,0
UACC-893,ATM_mut,0
UACC-893,ATR_mut,0
UACC-893,BAP1_mut,0
UACC-893,BNC2_mut,0
UACC-893,BRAF_mut,0
UACC-893,BRCA1_mut,0
UACC-893,BRCA2_mut,0
UACC-893,CDH1_mut,0
UACC-893,CHD4_mut,0
UACC-893,CHEK2_mut,0
UACC-893,CLSPN_mut,0
UACC-893,CTCF_mut,0
UACC-893,CUX1_mut,0
UACC-893,DHX15_mut,0
UACC-893,EIF4A2_mut,0
UACC-893,EP300_mut,0
UACC-893,FAT1_mut,0
UACC-893,FLT3_mut,0
UACC-893,FTSJD1_mut,0
UACC-893,GATA3_mut,0
UACC-893,KALRN_mut,0
UACC-893,KDM5C_mut,0
UACC-893,KDM6A_mut,0
UACC-893,KRAS_mut,0
UACC-893,LARP4B_mut,0
UACC-893,LPHN2_mut,0
UACC-893,MACF1_mut,0
UACC-893,MAP2K4_mut,0
UACC-893,MAP3K1_mut,0
UACC-893,MAX_mut,0
UACC-893,MECOM_mut,0
UACC-893,MED23_mut,0
UACC-893,MGA_mut,0
UACC-893,MLL_mut,0
UACC-893,MLL3_mut,0
UACC-893,MLLT4_mut,0
UACC-893,MYH9_mut,0
UACC-893,NF1_mut,0
UACC-893,NF2_mut,0
UACC-893,NSD1_mut,0
UACC-893,NUP98_mut,0
UACC-893,PIK3CA_mut,1
UACC-893,PIK3R1_mut,0
UACC-893,POLR2B_mut,0
UACC-893,PTEN_mut,0
UACC-893,SACS_mut,0
UACC-893,SMARCA4_mut,0
UACC-893,STAG2_mut,0
UACC-893,SVEP1_mut,0
UACC-893,TCF12_mut,0
UACC-893,TP53_mut,1
UACC-893,TRIO_mut,0
UACC-893,ZFP36L1_mut,0
YMB-1-E,AHNAK_mut,0
YMB-1-E,AKAP9_mut,0
YMB-1-E,APC_mut,0
YMB-1-E,ARFGEF2_mut,0
YMB-1-E,ARID1A_mut,0
YMB-1-E,ARID1B_mut,0
YMB-1-E,ARID4B_mut,0
YMB-1-E,ASH1L_mut,0
YMB-1-E,ASPM_mut,0
YMB-1-E,ASXL2_mut,0
YMB-1-E,ATM_mut,0
YMB-1-E,ATR_mut,0
YMB-1-E,BAP1_mut,0
YMB-1-E,BNC2_mut,0
YMB-1-E,BRAF_mut,0
YMB-1-E,BRCA1_mut,0
YMB-1-E,BRCA2_mut,0
YMB-1-E,CDH1_mut,0
YMB-1-E,CHD4_mut,0
YMB-1-E,CHEK2_mut,0
YMB-1-E,CLSPN_mut,0
YMB-1-E,CTCF_mut,0
YMB-1-E,CUX1_mut,0
YMB-1-E,DHX15_mut,0
YMB-1-E,EIF4A2_mut,0
YMB-1-E,EP300_mut,0
YMB-1-E,FAT1_mut,0
YMB-1-E,FLT3_mut,0
YMB-1-E,FTSJD1_mut,0
YMB-1-E,GATA3_mut,0
YMB-1-E,KALRN_mut,0
YMB-1-E,KDM5C_mut,0
YMB-1-E,KDM6A_mut,0
YMB-1-E,KRAS_mut,1
YMB-1-E,LARP4B_mut,0
YMB-1-E,LPHN2_mut,0
YMB-1-E,MACF1_mut,0
YMB-1-E,MAP2K4_mut,0
YMB-1-E,MAP3K1_mut,0
YMB-1-E,MAX_mut,0
YMB-1-E,MECOM_mut,0
YMB-1-E,MED23_mut,0
YMB-1-E,MGA_mut,0
YMB-1-E,MLL_mut,0
YMB-1-E,MLL3_mut,0
YMB-1-E,MLLT4_mut,1
YMB-1-E,MYH9_mut,0
YMB-1-E,NF1_mut,0
YMB-1-E,NF2_mut,0
YMB-1-E,NSD1_mut,0
YMB-1-E,NUP98_mut,0
YMB-1-E,PIK3CA_mut,0
YMB-1-E,PIK3R1_mut,0
YMB-1-E,POLR2B_mut,0
YMB-1-E,PTEN_mut,1
YMB-1-E,SACS_mut,0
YMB-1-E,SMARCA4_mut,0
YMB-1-E,STAG2_mut,0
YMB-1-E,SVEP1_mut,0
YMB-1-E,TCF12_mut,0
YMB-1-E,TP53_mut,0
YMB-1-E,TRIO_mut,0
YMB-1-E,ZFP36L1_mut,0
ZR-75-30,AHNAK_mut,0
ZR-75-30,AKAP9_mut,0
ZR-75-30,APC_mut,0
ZR-75-30,ARFGEF2_mut,0
ZR-75-30,ARID1A_mut,0
ZR-75-30,ARID1B_mut,0
ZR-75-30,ARID4B_mut,0
ZR-75-30,ASH1L_mut,0
ZR-75-30,ASPM_mut,0
ZR-75-30,ASXL2_mut,0
ZR-75-30,ATM_mut,0
ZR-75-30,ATR_mut,0
ZR-75-30,BAP1_mut,0
ZR-75-30,BNC2_mut,0
ZR-75-30,BRAF_mut,0
ZR-75-30,BRCA1_mut,0
ZR-75-30,BRCA2_mut,0
ZR-75-30,CDH1_mut,1
ZR-75-30,CHD4_mut,0
ZR-75-30,CHEK2_mut,0
ZR-75-30,CLSPN_mut,0
ZR-75-30,CTCF_mut,0
ZR-75-30,CUX1_mut,0
ZR-75-30,DHX15_mut,0
ZR-75-30,EIF4A2_mut,0
ZR-75-30,EP300_mut,0
ZR-75-30,FAT1_mut,0
ZR-75-30,FLT3_mut,0
ZR-75-30,FTSJD1_mut,0
ZR-75-30,GATA3_mut,0
ZR-75-30,KALRN_mut,0
ZR-75-30,KDM5C_mut,0
ZR-75-30,KDM6A_mut,0
ZR-75-30,KRAS_mut,0
ZR-75-30,LARP4B_mut,0
ZR-75-30,LPHN2_mut,0
