cell_line_name,genetic_feature,is_mutated
CMK,ARID1A_mut,0
CMK,ASXL1_mut,0
CMK,BCOR_mut,0
CMK,CDKN2A_mut,0
CMK,CREBBP_mut,0
CMK,DNMT3A_mut,0
CMK,EP300_mut,0
CMK,EZH2_mut,0
CMK,FBXW7_mut,0
CMK,FLT3_mut,0
CMK,KRAS_mut,0
CMK,MAP3K1_mut,0
CMK,NF1_mut,0
CMK,NOTCH1_mut,0
CMK,NPM1_mut,0
CMK,NRAS_mut,0
CMK,PML.RARA_mut,0
CMK,PTEN_mut,0
CMK,PTPN11_mut,0
CMK,RUNX1.RUNX1T1_mut,0
CMK,SACS_mut,0
CMK,STAG2_mut,0
CMK,TET2_mut,0
CMK,TP53_mut,1
CMK,U2AF1_mut,0
CTV-1,ARID1A_mut,0
CTV-1,ASXL1_mut,0
CTV-1,BCOR_mut,1
CTV-1,CDKN2A_mut,0
CTV-1,CREBBP_mut,0
CTV-1,DNMT3A_mut,1
CTV-1,EP300_mut,1
CTV-1,EZH2_mut,0
CTV-1,FBXW7_mut,1
CTV-1,FLT3_mut,0
CTV-1,KRAS_mut,0
CTV-1,MAP3K1_mut,1
CTV-1,NF1_mut,0
CTV-1,NOTCH1_mut,1
CTV-1,NPM1_mut,0
CTV-1,NRAS_mut,0
CTV-1,PML.RARA_mut,0
CTV-1,PTEN_mut,0
CTV-1,PTPN11_mut,0
CTV-1,RUNX1.RUNX1T1_mut,0
CTV-1,SACS_mut,1
CTV-1,STAG2_mut,0
CTV-1,TET2_mut,0
CTV-1,TP53_mut,0
CTV-1,U2AF1_mut,0
GDM-1,ARID1A_mut,0
GDM-1,ASXL1_mut,0
GDM-1,BCOR_mut,0
GDM-1,CDKN2A_mut,0
GDM-1,CREBBP_mut,0
GDM-1,DNMT3A_mut,0
GDM-1,EP300_mut,0
GDM-1,EZH2_mut,0
GDM-1,FBXW7_mut,0
GDM-1,FLT3_mut,0
GDM-1,KRAS_mut,0
GDM-1,MAP3K1_mut,0
GDM-1,NF1_mut,0
GDM-1,NOTCH1_mut,0
GDM-1,NPM1_mut,0
GDM-1,NRAS_mut,0
GDM-1,PML.RARA_mut,0
GDM-1,PTEN_mut,0
GDM-1,PTPN11_mut,1
GDM-1,RUNX1.RUNX1T1_mut,0
GDM-1,SACS_mut,0
GDM-1,STAG2_mut,0
GDM-1,TET2_mut,0
GDM-1,TP53_mut,0
GDM-1,U2AF1_mut,0
HL-60,ARID1A_mut,0
HL-60,ASXL1_mut,0
HL-60,BCOR_mut,0
