Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Erlotinib,1,CCRF-CEM,905952,ALL,blood,lymphoblastic_leukemia,2.72641087791989,0.982923056420623,2,0.032089920311768,0.120279710688821,GDSC1
Erlotinib,1,MOLT-4,905958,ALL,blood,lymphoblastic_leukemia,2.36455562372239,0.986700995723316,2,0.028578821670053,-0.218741013797928,GDSC1
Erlotinib,1,BE-13,906763,ALL,blood,lymphoblastic_leukemia,2.59946832673681,0.975258902780636,2,0.027011752293533,0.001347747780815,GDSC1
Erlotinib,1,GR-ST,906877,ALL,blood,lymphoblastic_leukemia,3.77503885125959,0.976302955041103,2,0.039807968757935,1.10273501875702,GDSC1
Erlotinib,1,KARPAS-45,907272,ALL,blood,lymphoblastic_leukemia,2.54662788333917,0.988465227130952,2,0.023771126835506,-0.048158249976766,GDSC1
Erlotinib,1,KE-37,907277,ALL,blood,lymphoblastic_leukemia,1.96755607544301,0.989893754893123,2,0.17009928552167,-0.590688285303151,GDSC1
Erlotinib,1,LC4-1,907787,ALL,blood,lymphoblastic_leukemia,3.49968352774391,0.982020591119373,2,0.033515692006498,0.844755729561401,GDSC1
Erlotinib,1,LOUCY,907789,ALL,blood,lymphoblastic_T_cell_leukaemia,2.0600007858579,0.985383382820362,2,0.072686841554432,-0.504077209917968,GDSC1
Erlotinib,1,P30-OHK,909252,ALL,blood,lymphoblastic_leukemia,2.51115731671363,0.990173616476215,2,0.037369890475708,-0.081390480422101,GDSC1
Erlotinib,1,PF-382,909260,ALL,blood,lymphoblastic_T_cell_leukaemia,2.18988133100288,0.974376647265102,2,0.04604807267316,-0.382392652346915,GDSC1
Erlotinib,1,RPMI-8402,909702,ALL,blood,lymphoblastic_T_cell_leukaemia,2.42973576515731,0.98886497275349,2,0.021734700393481,-0.157674002845112,GDSC1
Erlotinib,1,RS4-11,909703,ALL,blood,leukemia,2.60840993594458,0.977974915791617,2,0.025843691594789,0.009725105291951,GDSC1
Erlotinib,1,SUP-T1,909743,ALL,blood,lymphoblastic_T_cell_leukaemia,3.12489389601301,0.987182575024843,2,0.030342003573261,0.493616839064093,GDSC1
Erlotinib,1,TALL-1,909762,ALL,blood,lymphoblastic_T_cell_leukaemia,3.18364720329622,0.989219953571453,2,0.028950679605019,0.548662575087239,GDSC1
