Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Erlotinib,1,HCC1187,749711,BRCA,breast,breast,2.95945202222552,0.988611762760666,2,0.02631990680182,0.338615016481,GDSC1
Erlotinib,1,HCC1599,749713,BRCA,breast,breast,2.79080198696091,0.978042746931242,2,0.034168406571419,0.180607480382277,GDSC1
Erlotinib,1,HCC2157,749715,BRCA,breast,breast,1.41789548944529,0.922393583397735,2,0.06914168120934,-1.10566306575792,GDSC1
Erlotinib,1,HCC2218,749716,BRCA,breast,breast,3.56521755459787,0.966267053954229,2,0.060559731091536,0.906154294332376,GDSC1
Erlotinib,1,COLO-824,906812,BRCA,breast,breast,3.69375087784132,0.988379350380702,2,0.026651701482074,1.02657664515142,GDSC1
Erlotinib,1,DU-4475,906844,BRCA,breast,breast,2.92379059528607,0.991326716906201,2,0.056462107273917,0.305203969779305,GDSC1
Erlotinib,1,EVSA-T,906862,BRCA,breast,breast,2.81594384880334,0.987008851082709,2,0.021268398427433,0.204162789080688,GDSC1
Erlotinib,1,MRK-nu-1,908151,BRCA,breast,breast,3.6523073690379,0.986678425279412,2,0.023515400077234,0.987748389331371,GDSC1
Erlotinib,1,OCUB-M,909256,BRCA,breast,breast,2.70879154472097,0.988697086640425,2,0.027912167058582,0.103772228658975,GDSC1
Erlotinib,1,UACC-812,910910,BRCA,breast,breast,3.62891753386105,0.986815452684513,2,0.026333516951155,0.965834547331573,GDSC1
Erlotinib,1,MFM-223,910948,BRCA,breast,breast,3.65516144101264,0.984656073282699,2,0.028891852110369,0.99042235782399,GDSC1
Erlotinib,1,CAL-148,924106,BRCA,breast,breast,2.55387997334996,0.98192442808261,2,0.0913148197701,-0.041363796169664,GDSC1
Erlotinib,1,BT-474,946359,BRCA,breast,breast,3.15838844898831,0.974092963882903,2,0.01571998951998,0.524997750310579,GDSC1
Rapamycin,3,HCC1187,749711,BRCA,breast,breast,-2.55119409523092,0.867004756231727,0.1,0.170592258628512,-0.19897025203476,GDSC1
Rapamycin,3,HCC1599,749713,BRCA,breast,breast,-3.30514566480653,0.762974380524339,0.1,0.286312156248362,-0.599438910445663,GDSC1
Rapamycin,3,HCC2157,749715,BRCA,breast,breast,-2.05537378644901,0.889289138392948,0.1,0.132397243164588,0.064389493979878,GDSC1
Rapamycin,3,HCC2218,749716,BRCA,breast,breast,-1.88381366155065,0.856796866277536,0.1,0.165226674615439,0.155515311376246,GDSC1
Rapamycin,3,COLO-824,906812,BRCA,breast,breast,-1.40500041622565,0.930215206723278,0.1,0.149918297201416,0.409841591368745,GDSC1
Rapamycin,3,EVSA-T,906862,BRCA,breast,breast,-2.81496744011909,0.83904532818474,0.1,0.236856406951797,-0.339076011893292,GDSC1
Rapamycin,3,OCUB-M,909256,BRCA,breast,breast,-8.72832783295335,0.04168726727607,0.1,0.092332302239413,-3.48001450022547,GDSC1
Rapamycin,3,UACC-812,910910,BRCA,breast,breast,-2.05291588248658,0.884823061715273,0.1,0.141700130281358,0.065695033409804,GDSC1
Rapamycin,3,MFM-223,910948,BRCA,breast,breast,0.996311120778305,0.988428559243769,0.1,0.021917433145201,1.68532140791968,GDSC1
Rapamycin,3,CAL-148,924106,BRCA,breast,breast,-1.541767678215,0.944288714266173,0.1,0.129632754021844,0.337196339162113,GDSC1
Rapamycin,3,BT-474,946359,BRCA,breast,breast,-1.46674766885985,0.913415205848875,0.1,0.118922572881571,0.377043941730722,GDSC1
Rapamycin,3,HCC1500,1303900,BRCA,breast,breast,-1.24436162880693,0.940451848715895,0.1,0.193678659320802,0.495166434876318,GDSC1
Sunitinib,5,HCC1187,749711,BRCA,breast,breast,2.63317810581214,0.932944174401652,8,0.027040665236761,0.080781736521443,GDSC1
Sunitinib,5,HCC1599,749713,BRCA,breast,breast,2.15773734087088,0.880315645586502,8,0.028578911780399,-0.208707242623247,GDSC1
Sunitinib,5,HCC2157,749715,BRCA,breast,breast,3.78040588667903,0.965193007224918,8,0.028437079910661,0.779312076406395,GDSC1
Sunitinib,5,HCC2218,749716,BRCA,breast,breast,5.38482327397765,0.974499447365751,8,0.029163393045679,1.75621852999677,GDSC1
Sunitinib,5,COLO-824,906812,BRCA,breast,breast,3.68837495275182,0.960771045966478,8,0.051133350455819,0.72327577687787,GDSC1
Sunitinib,5,DU-4475,906844,BRCA,breast,breast,1.47441476140365,0.835479471318053,8,0.097066843484929,-0.624772440526339,GDSC1
Sunitinib,5,EVSA-T,906862,BRCA,breast,breast,1.93633233057841,0.878367601660072,8,0.0873893738383,-0.343517538949024,GDSC1
Sunitinib,5,MRK-nu-1,908151,BRCA,breast,breast,3.29789385498101,0.942914228101653,8,0.124268679001604,0.48551750559683,GDSC1
Sunitinib,5,OCUB-M,909256,BRCA,breast,breast,1.96110206847198,0.888725872217787,8,0.059119145247808,-0.32843560516201,GDSC1
Sunitinib,5,MFM-223,910948,BRCA,breast,breast,5.34437624120276,0.988093322240246,8,0.029767055670337,1.7315909189654,GDSC1
Sunitinib,5,CAL-148,924106,BRCA,breast,breast,4.35300578935824,0.988450702952401,8,0.026556580987343,1.12795984392678,GDSC1
Sunitinib,5,BT-474,946359,BRCA,breast,breast,4.79322600484286,0.978700457180898,8,0.0342119587606,1.39600354185251,GDSC1
PHA-665752,6,HCC1187,749711,BRCA,breast,breast,2.06246984440427,0.970105701368593,2,0.098998910688832,-0.755340887189704,GDSC1
PHA-665752,6,HCC1599,749713,BRCA,breast,breast,3.13305338486518,0.984042785614586,2,0.044106008402782,0.444935979943505,GDSC1
PHA-665752,6,HCC2157,749715,BRCA,breast,breast,3.40272141328923,0.985788254511347,2,0.028433874432526,0.747272307833858,GDSC1
PHA-665752,6,HCC2218,749716,BRCA,breast,breast,4.6025877718434,0.98284627674956,2,0.031659339689643,2.09249365618741,GDSC1
PHA-665752,6,COLO-824,906812,BRCA,breast,breast,2.62465040801293,0.970167584665752,2,0.160788340093228,-0.125056280571447,GDSC1
PHA-665752,6,DU-4475,906844,BRCA,breast,breast,2.28427128767273,0.981402816342953,2,0.13688240745816,-0.506669829406323,GDSC1
PHA-665752,6,EVSA-T,906862,BRCA,breast,breast,2.85377459878808,0.987541322349884,2,0.022226109067086,0.131824621753685,GDSC1
PHA-665752,6,MRK-nu-1,908151,BRCA,breast,breast,1.34776010537987,0.912554547823606,2,0.101454479807076,-1.55663245766956,GDSC1
PHA-665752,6,OCUB-M,909256,BRCA,breast,breast,2.70314793317047,0.988620429446008,2,0.068581772727512,-0.037049357232016,GDSC1
PHA-665752,6,UACC-812,910910,BRCA,breast,breast,2.55670627267787,0.966814340108496,2,0.13608595668158,-0.201231348483409,GDSC1
PHA-665752,6,MFM-223,910948,BRCA,breast,breast,3.94431416872307,0.987954749116918,2,0.040806938529224,1.35447504464626,GDSC1
PHA-665752,6,CAL-148,924106,BRCA,breast,breast,2.96671142823835,0.988450702952401,2,0.026556580987343,0.258442917957046,GDSC1
PHA-665752,6,BT-474,946359,BRCA,breast,breast,3.54140537389472,0.980857488162338,2,0.037712079855659,0.902756810879295,GDSC1
PHA-665752,6,HCC1500,1303900,BRCA,breast,breast,3.00068918923494,0.979608953167601,2,0.09372528103628,0.296536834947056,GDSC1
MG-132,9,HCC1187,749711,BRCA,breast,breast,1.58938971474692,0.976279654065919,1,0.123698461900932,1.15231508884534,GDSC1
MG-132,9,HCC1599,749713,BRCA,breast,breast,2.23620928331071,0.980692219203165,1,0.117313343509118,1.60560271400668,GDSC1
MG-132,9,HCC2157,749715,BRCA,breast,breast,-1.28740589475331,0.721548219941686,1,0.183880212135558,-0.863727580983543,GDSC1
MG-132,9,HCC2218,749716,BRCA,breast,breast,2.75222615724087,0.963584059219026,1,0.108558047507972,1.96722452431514,GDSC1
MG-132,9,COLO-824,906812,BRCA,breast,breast,0.646334709091112,0.915459222754188,1,0.180707397784889,0.491427285374272,GDSC1
MG-132,9,DU-4475,906844,BRCA,breast,breast,-1.53648413389563,0.704042247518615,1,0.177277245531696,-1.03828025221902,GDSC1
MG-132,9,EVSA-T,906862,BRCA,breast,breast,-1.39982332976221,0.720416029796152,1,0.132584539378301,-0.942509106185479,GDSC1
MG-132,9,MRK-nu-1,908151,BRCA,breast,breast,0.201217377677556,0.879812562509903,1,0.20909389973808,0.179491487694856,GDSC1
MG-132,9,OCUB-M,909256,BRCA,breast,breast,-2.35163686922454,0.571057746989357,1,0.179510516896645,-1.60953484236917,GDSC1
MG-132,9,UACC-812,910910,BRCA,breast,breast,1.4173533578736,0.952104810313702,1,0.092947184379185,1.0317529484301,GDSC1
MG-132,9,MFM-223,910948,BRCA,breast,breast,1.44006763407131,0.947801506513075,1,0.042082751154427,1.04767098928001,GDSC1
MG-132,9,CAL-148,924106,BRCA,breast,breast,0.705940512720391,0.941297724698624,1,0.090398421077777,0.533198707399955,GDSC1
MG-132,9,BT-474,946359,BRCA,breast,breast,1.86408759317861,0.958820234454105,1,0.045683332826096,1.34482186353622,GDSC1
MG-132,9,HCC1500,1303900,BRCA,breast,breast,1.28053622360881,0.950372884777173,1,0.22241906681243,0.935872247093296,GDSC1
Paclitaxel,11,HCC1187,749711,BRCA,breast,breast,-4.18792576545448,0.641315208241772,0.1024,0.070435328906062,-0.663340195876078,GDSC1
Paclitaxel,11,HCC1599,749713,BRCA,breast,breast,-3.7599512019789,0.697696238146006,0.1024,0.064851948526846,-0.437979502834405,GDSC1
Paclitaxel,11,HCC2157,749715,BRCA,breast,breast,-2.3102531071736,0.865686489391945,0.1024,0.115625446961956,0.325395228349025,GDSC1
Paclitaxel,11,HCC2218,749716,BRCA,breast,breast,-3.00311885415788,0.753561615179608,0.1024,0.143467565285852,-0.039450531775514,GDSC1
Paclitaxel,11,COLO-824,906812,BRCA,breast,breast,-1.28994553209433,0.935023736464778,0.1024,0.091926986915082,0.862663659370288,GDSC1
Paclitaxel,11,DU-4475,906844,BRCA,breast,breast,-2.89858121381942,0.83367839459649,0.1024,0.140792204634438,0.015596373078594,GDSC1
Paclitaxel,11,EVSA-T,906862,BRCA,breast,breast,-3.51270475454458,0.744732036385702,0.1024,0.142048083714373,-0.307785712125462,GDSC1
Paclitaxel,11,OCUB-M,909256,BRCA,breast,breast,-5.76478710557278,0.380224582189055,0.1024,0.12553494394749,-1.49367590918059,GDSC1
Paclitaxel,11,MFM-223,910948,BRCA,breast,breast,0.810665946204444,0.986206309879753,0.1024,0.059565879992033,1.96879308612001,GDSC1
Paclitaxel,11,CAL-148,924106,BRCA,breast,breast,-3.25230503072311,0.779934020352816,0.1024,0.080261911529694,-0.170665735293907,GDSC1
Paclitaxel,11,BT-474,946359,BRCA,breast,breast,-1.80752554961733,0.889636836451161,0.1024,0.029819723412689,0.590118977026891,GDSC1
Cyclopamine,17,HCC1187,749711,BRCA,breast,breast,4.62125937280769,0.982030511374985,16,0.015389168315611,-0.062013321234138,GDSC1
Cyclopamine,17,HCC1599,749713,BRCA,breast,breast,3.82139321116123,0.944174376201082,16,0.026561303033328,-0.897044321432185,GDSC1
Cyclopamine,17,HCC2157,749715,BRCA,breast,breast,4.73315861955709,0.972227026336309,16,0.024586683693597,0.054805397215234,GDSC1
